Date,Year,Quarter,Month,Day,Weekend,Casual,Member,Total Rides,"Avg. ""Feels like"" (°C)",Avg. Temperature (°C),WMO Code,Weather,Max Wind (km/h)
2023-10-17,2023,2023Q4,October,Tuesday,Weekday,4669,10975,15644,10.7,15.0,3,Cloudy,20.8
2023-10-18,2023,2023Q4,October,Wednesday,Weekday,4945,11468,16413,8.7,13.2,3,Cloudy,19.5
2023-10-19,2023,2023Q4,October,Thursday,Weekday,5689,11466,17155,8.8,13.3,2,Partly Cloudy,18.5
2023-10-20,2023,2023Q4,October,Friday,Weekday,4696,8802,13498,8.0,12.1,1,Mostly Clear,15.3
2023-10-21,2023,2023Q4,October,Saturday,Weekend,8031,9318,17349,9.2,12.9,1,Mostly Clear,15.6
2023-10-22,2023,2023Q4,October,Sunday,Weekend,6118,8474,14592,8.6,12.4,2,Partly Cloudy,12.3
2023-10-23,2023,2023Q4,October,Monday,Weekday,4265,10100,14365,11.1,14.8,3,Cloudy,16.2
2023-10-24,2023,2023Q4,October,Tuesday,Weekday,5085,11898,16983,10.0,13.6,0,Clear,13.9
2023-10-25,2023,2023Q4,October,Wednesday,Weekday,5403,12580,17983,8.9,12.4,1,Mostly Clear,11.8
2023-10-26,2023,2023Q4,October,Thursday,Weekday,5750,12274,18024,9.3,12.9,2,Partly Cloudy,11.3
2023-10-27,2023,2023Q4,October,Friday,Weekday,6894,11689,18583,11.0,14.7,1,Mostly Clear,15.0
2023-10-28,2023,2023Q4,October,Saturday,Weekend,9505,10669,20174,10.6,13.9,2,Partly Cloudy,11.5
2023-10-29,2023,2023Q4,October,Sunday,Weekend,7965,9199,17164,9.6,12.9,1,Mostly Clear,10.8
2023-10-30,2023,2023Q4,October,Monday,Weekday,4005,9180,13185,10.4,13.8,1,Mostly Clear,13.5
2023-10-31,2023,2023Q4,October,Tuesday,Weekday,4072,10630,14702,11.0,16.5,2,Partly Cloudy,40.1
2023-11-01,2023,2023Q4,November,Wednesday,Weekday,3179,9533,12712,9.2,14.8,3,Cloudy,28.1
2023-11-02,2023,2023Q4,November,Thursday,Weekday,3687,9637,13324,5.7,10.3,2,Partly Cloudy,22.2
2023-11-03,2023,2023Q4,November,Friday,Weekday,4879,9356,14235,5.2,9.0,0,Clear,10.5
2023-11-04,2023,2023Q4,November,Saturday,Weekend,8308,10012,18320,5.1,9.3,0,Clear,16.9
2023-11-05,2023,2023Q4,November,Sunday,Weekend,6791,8656,15447,4.0,7.1,1,Mostly Clear,6.6
2023-11-06,2023,2023Q4,November,Monday,Weekday,4095,9749,13844,4.6,7.9,1,Mostly Clear,10.9
2023-11-07,2023,2023Q4,November,Tuesday,Weekday,4457,11281,15738,4.0,7.5,1,Mostly Clear,11.4
2023-11-08,2023,2023Q4,November,Wednesday,Weekday,4236,11112,15348,4.9,8.3,1,Mostly Clear,8.9
2023-11-09,2023,2023Q4,November,Thursday,Weekday,4471,10478,14949,3.6,7.7,51,Light Drizzle,12.3
2023-11-10,2023,2023Q4,November,Friday,Weekday,2600,5890,8490,0.6,4.7,3,Cloudy,22.8
2023-11-11,2023,2023Q4,November,Saturday,Weekend,6719,8295,15014,0.8,4.7,1,Mostly Clear,14.5
2023-11-12,2023,2023Q4,November,Sunday,Weekend,4442,6911,11353,0.9,4.5,0,Clear,10.3
2023-11-13,2023,2023Q4,November,Monday,Weekday,3458,9175,12633,0.8,5.0,1,Mostly Clear,12.9
2023-11-14,2023,2023Q4,November,Tuesday,Weekday,4254,10309,14563,-0.2,4.2,0,Clear,16.3
2023-11-15,2023,2023Q4,November,Wednesday,Weekday,3912,10572,14484,-1.4,2.4,0,Clear,9.2
2023-11-16,2023,2023Q4,November,Thursday,Weekday,4380,10743,15123,-1.8,2.0,0,Clear,8.8
2023-11-17,2023,2023Q4,November,Friday,Weekday,4866,9954,14820,-1.0,2.8,1,Mostly Clear,7.1
2023-11-18,2023,2023Q4,November,Saturday,Weekend,5767,8155,13922,0.5,4.4,3,Cloudy,9.2
2023-11-19,2023,2023Q4,November,Sunday,Weekend,4791,7164,11955,0.6,4.6,1,Mostly Clear,10.3
2023-11-20,2023,2023Q4,November,Monday,Weekday,2963,7865,10828,0.5,5.0,0,Clear,15.7
2023-11-21,2023,2023Q4,November,Tuesday,Weekday,825,2861,3686,-1.0,3.2,0,Clear,10.7
2023-11-22,2023,2023Q4,November,Wednesday,Weekday,3087,6383,9470,-1.6,2.5,0,Clear,9.1
2023-11-23,2023,2023Q4,November,Thursday,Weekday,2792,3343,6135,-1.4,3.3,2,Partly Cloudy,17.4
2023-11-24,2023,2023Q4,November,Friday,Weekday,3296,4325,7621,-2.3,1.9,1,Mostly Clear,10.9
2023-11-25,2023,2023Q4,November,Saturday,Weekend,2922,4537,7459,-2.0,1.8,1,Mostly Clear,9.8
2023-11-26,2023,2023Q4,November,Sunday,Weekend,1551,3731,5282,-1.1,2.6,2,Partly Cloudy,10.2
2023-11-27,2023,2023Q4,November,Monday,Weekday,2122,7575,9697,-2.5,1.3,1,Mostly Clear,9.2
2023-11-28,2023,2023Q4,November,Tuesday,Weekday,1937,7576,9513,-2.1,1.9,1,Mostly Clear,11.5
2023-11-29,2023,2023Q4,November,Wednesday,Weekday,2161,7920,10081,-3.2,1.0,2,Partly Cloudy,9.5
2023-11-30,2023,2023Q4,November,Thursday,Weekday,3074,9481,12555,-3.0,0.9,3,Cloudy,8.9
2023-12-01,2023,2023Q4,December,Friday,Weekday,2261,6570,8831,-3.3,0.6,2,Partly Cloudy,11.0
2023-12-02,2023,2023Q4,December,Saturday,Weekend,4994,8256,13250,-4.1,-0.3,1,Mostly Clear,8.2
2023-12-03,2023,2023Q4,December,Sunday,Weekend,2750,6069,8819,-4.9,-0.8,1,Mostly Clear,9.7
2023-12-04,2023,2023Q4,December,Monday,Weekday,2853,8771,11624,-1.4,2.8,0,Clear,15.2
2023-12-05,2023,2023Q4,December,Tuesday,Weekday,2969,9247,12216,-2.8,1.5,0,Clear,12.8
2023-12-06,2023,2023Q4,December,Wednesday,Weekday,2688,8738,11426,-2.6,1.4,1,Mostly Clear,11.5
2023-12-07,2023,2023Q4,December,Thursday,Weekday,2739,8488,11227,1.3,5.9,1,Mostly Clear,15.6
2023-12-08,2023,2023Q4,December,Friday,Weekday,3708,8764,12472,-2.5,1.3,3,Cloudy,9.8
2023-12-09,2023,2023Q4,December,Saturday,Weekend,5162,8350,13512,-2.7,1.6,2,Partly Cloudy,12.4
2023-12-10,2023,2023Q4,December,Sunday,Weekend,1326,3230,4556,-4.7,0.1,3,Cloudy,19.4
2023-12-11,2023,2023Q4,December,Monday,Weekday,2171,7287,9458,-7.3,-3.2,1,Mostly Clear,11.5
2023-12-12,2023,2023Q4,December,Tuesday,Weekday,2597,8492,11089,-1.3,4.4,3,Cloudy,26.2
2023-12-13,2023,2023Q4,December,Wednesday,Weekday,2927,8455,11382,-6.8,-1.0,3,Cloudy,27.0
2023-12-14,2023,2023Q4,December,Thursday,Weekday,2907,7884,10791,-11.9,-6.8,3,Cloudy,13.2
2023-12-15,2023,2023Q4,December,Friday,Weekday,3552,8231,11783,-12.5,-8.2,3,Cloudy,10.4
2023-12-16,2023,2023Q4,December,Saturday,Weekend,4696,7576,12272,-12.9,-8.7,3,Cloudy,8.7
2023-12-17,2023,2023Q4,December,Sunday,Weekend,2044,3976,6020,-11.5,-7.4,0,Clear,10.9
2023-12-18,2023,2023Q4,December,Monday,Weekday,2381,6703,9084,-11.3,-7.1,1,Mostly Clear,10.9
2023-12-19,2023,2023Q4,December,Tuesday,Weekday,2218,6791,9009,-11.7,-7.7,3,Cloudy,7.2
2023-12-20,2023,2023Q4,December,Wednesday,Weekday,2377,6919,9296,-10.6,-6.5,3,Cloudy,8.7
2023-12-21,2023,2023Q4,December,Thursday,Weekday,2317,6206,8523,-10.7,-6.3,0,Clear,13.0
2023-12-22,2023,2023Q4,December,Friday,Weekday,2393,5197,7590,-10.9,-6.8,1,Mostly Clear,8.3
2023-12-23,2023,2023Q4,December,Saturday,Weekend,2150,4101,6251,-10.2,-6.1,1,Mostly Clear,9.8
2023-12-24,2023,2023Q4,December,Sunday,Weekend,1518,2933,4451,-9.2,-5.2,1,Mostly Clear,10.1
2023-12-25,2023,2023Q4,December,Monday,Weekday,2072,2263,4335,-8.9,-4.7,1,Mostly Clear,12.7
2023-12-26,2023,2023Q4,December,Tuesday,Weekday,1090,2607,3697,-8.9,-4.8,1,Mostly Clear,9.4
2023-12-27,2023,2023Q4,December,Wednesday,Weekday,646,1934,2580,-8.6,-4.3,71,Light Snow,10.1
2023-12-28,2023,2023Q4,December,Thursday,Weekday,3099,4819,7918,-7.0,-2.5,0,Clear,12.8
2023-12-29,2023,2023Q4,December,Friday,Weekday,3491,5168,8659,-7.8,-3.9,1,Mostly Clear,9.5
2023-12-30,2023,2023Q4,December,Saturday,Weekend,3097,4497,7594,-7.3,-2.9,1,Mostly Clear,13.8
2023-12-31,2023,2023Q4,December,Sunday,Weekend,2839,4488,7327,-8.9,-4.6,0,Clear,10.2
